instrument,input_system,provider1,provider2,correlation,p_value,n
phq3_a,behavioral,claude,deepseek,0.9836426820588509,6.153389256025044e-06,9
phq3_a,behavioral,claude,gemini,0.9936065398316131,2.3378354896408382e-07,9
phq3_a,behavioral,claude,openai,0.9864343343554789,3.2122077570084784e-06,9
phq3_a,behavioral,deepseek,gemini,0.9847572693356209,4.816101373372739e-06,9
phq3_a,behavioral,deepseek,openai,0.9873174578760955,2.5418941638211123e-06,9
phq3_a,behavioral,gemini,openai,0.9941944320225325,1.6697165383661172e-07,9
phq3_a,exemplar,claude,deepseek,0.9416085856439917,0.0004906675928932902,9
phq3_a,exemplar,claude,gemini,0.9076499680862427,0.002294959829591714,9
phq3_a,exemplar,claude,openai,0.9185566160636323,0.0015080179260534843,9
phq3_a,exemplar,deepseek,gemini,0.9456993109455146,0.0003833396395152011,9
phq3_a,exemplar,deepseek,openai,0.9304453139622536,0.0008870408957790676,9
phq3_a,exemplar,gemini,openai,0.9930726027501577,3.092617737454617e-07,9
phq3_a,hexaco,claude,deepseek,0.9608120195612609,0.00012576533459429662,9
phq3_a,hexaco,claude,gemini,0.9658680093728347,7.825388468218897e-05,9
phq3_a,hexaco,claude,openai,0.9462697359033052,0.0003698086085227592,9
phq3_a,hexaco,deepseek,gemini,0.9797239264660053,1.2958648597405364e-05,9
phq3_a,hexaco,deepseek,openai,0.969670633650954,5.2107389263089665e-05,9
phq3_a,hexaco,gemini,openai,0.9933762776653065,2.644964909315206e-07,9
phq3_a,narrative,claude,deepseek,0.961963511065737,0.00011353237311206854,9
phq3_a,narrative,claude,gemini,0.9571823512495186,0.00017036852803453684,9
phq3_a,narrative,claude,openai,0.9824772105824194,7.813400013878535e-06,9
phq3_a,narrative,deepseek,gemini,0.9837799642957397,5.975972212413083e-06,9
phq3_a,narrative,deepseek,openai,0.9259993084678938,0.0010930037896003109,9
phq3_a,narrative,gemini,openai,0.923107327457964,0.0012433965976451633,9
phq3_a,ocean_direct,claude,deepseek,0.9967912567814817,2.1054101129180935e-08,9
phq3_a,ocean_direct,claude,gemini,0.9966482154836288,2.4520072861022868e-08,9
phq3_a,ocean_direct,claude,openai,0.9967912567814817,2.1054101129180935e-08,9
phq3_a,ocean_direct,deepseek,gemini,0.9952943643556292,8.02026013380086e-08,9
phq3_a,ocean_direct,deepseek,openai,1.0,0.0,9
phq3_a,ocean_direct,gemini,openai,0.9952943643556292,8.02026013380086e-08,9
phq3_a,scenario,claude,deepseek,0.9006311571164025,0.002927644026925691,9
phq3_a,scenario,claude,gemini,0.7596736784667453,0.04918324389552786,9
phq3_a,scenario,claude,openai,0.9167633173917408,0.001622151392226212,9
phq3_a,scenario,deepseek,gemini,0.7579867113013494,0.05023331096150474,9
phq3_a,scenario,deepseek,openai,0.682201487021733,0.1117132165360345,9
phq3_a,scenario,gemini,openai,0.6794605618043779,0.11446678488241702,9
phq6_bc,behavioral,claude,deepseek,0.9978716921302169,5.013109038998209e-09,9
phq6_bc,behavioral,claude,gemini,0.9061686003985531,0.0024198211586655693,9
phq6_bc,behavioral,claude,openai,0.9911290342811074,7.323961819238889e-07,9
phq6_bc,behavioral,deepseek,gemini,0.9197778017714586,0.0014335384092559744,9
phq6_bc,behavioral,deepseek,openai,0.991799798560084,5.568596089799982e-07,9
phq6_bc,behavioral,gemini,openai,0.9054107397527551,0.002485458592261791,9
phq6_bc,exemplar,claude,deepseek,0.9708929220033296,4.521845694271942e-05,9
phq6_bc,exemplar,claude,gemini,0.8946225330554234,0.0035558758153942938,9
phq6_bc,exemplar,claude,openai,0.9856212141784739,3.932467717571164e-06,9
phq6_bc,exemplar,deepseek,gemini,0.8640938641916831,0.008184156864464942,9
phq6_bc,exemplar,deepseek,openai,0.9837469254400644,6.018333916446572e-06,9
phq6_bc,exemplar,gemini,openai,0.9210720605264162,0.0013574082146338151,9
phq6_bc,hexaco,claude,deepseek,0.9372112595458568,0.0006276328195905512,9
phq6_bc,hexaco,claude,gemini,0.9722121771808298,3.853262088981957e-05,9
