instrument,input_system,provider1,provider2,correlation,p_value,n
bfi,behavioral,claude,deepseek,0.9874807255362404,2.429893851019216e-06,9
bfi,behavioral,claude,gemini,0.9741051753796796,3.0202397124701186e-05,9
bfi,behavioral,claude,openai,0.9842284573644166,5.4216374032467485e-06,9
bfi,behavioral,deepseek,gemini,0.9828111192499617,7.308887969625921e-06,9
bfi,behavioral,deepseek,openai,0.9855245393949905,4.025100953874983e-06,9
bfi,behavioral,gemini,openai,0.9772140615140082,1.9409848184492873e-05,9
bfi,exemplar,claude,deepseek,0.9027617219225995,0.002724431104973557,9
bfi,exemplar,claude,gemini,0.8792033341777654,0.0055731473475859605,9
bfi,exemplar,claude,openai,0.7974795530998607,0.029104820535263864,9
bfi,exemplar,deepseek,gemini,0.8556331609550597,0.009950811600845322,9
bfi,exemplar,deepseek,openai,0.7395239668709144,0.06261720105442348,9
bfi,exemplar,gemini,openai,0.6957461433388517,0.0986482203755209,9
bfi,hexaco,claude,deepseek,0.9935442080065355,2.4183207325556566e-07,9
bfi,hexaco,claude,gemini,0.9974512554066145,9.414749646552423e-09,9
bfi,hexaco,claude,openai,0.996659814502118,2.4224862560373595e-08,9
bfi,hexaco,deepseek,gemini,0.9915869261478588,6.088900649237061e-07,9
bfi,hexaco,deepseek,openai,0.9914289037431089,6.496869229266622e-07,9
bfi,hexaco,gemini,openai,0.9950994163665524,9.241515874780504e-08,9
bfi,narrative,claude,deepseek,0.9915692963462324,6.133485754844514e-07,9
bfi,narrative,claude,gemini,0.9786994217037616,1.5370899193456466e-05,9
bfi,narrative,claude,openai,0.9906634252268257,8.752839378844968e-07,9
bfi,narrative,deepseek,gemini,0.9674622424744319,6.637875270565363e-05,9
bfi,narrative,deepseek,openai,0.9838246920303313,5.918960936712736e-06,9
bfi,narrative,gemini,openai,0.9636903982325621,9.679005977780708e-05,9
bfi,ocean_direct,claude,deepseek,0.9447906018221133,0.0004056023948233456,9
bfi,ocean_direct,claude,gemini,0.976199270745887,2.256698267932844e-05,9
bfi,ocean_direct,claude,openai,0.9662353886655939,7.539463124039969e-05,9
bfi,ocean_direct,deepseek,gemini,0.9432958373629544,0.00044415905111150344,9
bfi,ocean_direct,deepseek,openai,0.8972570277973348,0.0032701978861626735,9
bfi,ocean_direct,gemini,openai,0.962934792301718,0.00010388505834935113,9
bfi,scenario,claude,deepseek,0.9784477653103788,1.6008813181644932e-05,9
bfi,scenario,claude,gemini,0.9772224273031304,1.9385204761968033e-05,9
bfi,scenario,claude,openai,0.9636047671373954,9.757645382268976e-05,9
bfi,scenario,deepseek,gemini,0.9643351329526887,9.101158497770712e-05,9
bfi,scenario,deepseek,openai,0.9473223703610543,0.0003457198145030427,9
bfi,scenario,gemini,openai,0.9324226336683251,0.00080475155035864,9
dark_triad,behavioral,claude,deepseek,0.7791991697917652,0.03800042399879111,9
dark_triad,behavioral,claude,gemini,0.7046810219092506,0.09052544972135901,9
dark_triad,behavioral,claude,openai,0.7129123431291559,0.08339188841276834,9
dark_triad,behavioral,deepseek,gemini,0.6894671342768821,0.10459251743407827,9
dark_triad,behavioral,deepseek,openai,0.9444969125577604,0.0004129860669591645,9
dark_triad,behavioral,gemini,openai,0.7576139183400122,0.0504671830191753,9
dark_triad,exemplar,claude,deepseek,0.9630937314056741,0.00010236326039902988,9
dark_triad,exemplar,claude,gemini,0.9922274866604053,4.6201004000323564e-07,9
dark_triad,exemplar,claude,openai,0.9686127850472107,5.8640246900831805e-05,9
dark_triad,exemplar,deepseek,gemini,0.978237794093088,1.65552191717655e-05,9
dark_triad,exemplar,deepseek,openai,0.9856189883795032,3.934583268638825e-06,9
dark_triad,exemplar,gemini,openai,0.9884862760275966,1.815868689525324e-06,9
dark_triad,hexaco,claude,deepseek,0.8293194782576259,0.017008159563257186,9
dark_triad,hexaco,claude,gemini,0.5954403222861481,0.2160334768220078,9
dark_triad,hexaco,claude,openai,0.6717540277247613,0.12240558788713196,9
dark_triad,hexaco,deepseek,gemini,0.5559330124236468,0.27418130766229,9
dark_triad,hexaco,deepseek,openai,0.6910092280340171,0.10311461021361223,9
dark_triad,hexaco,gemini,openai,0.714660718132237,0.08191985378722122,9
dark_triad,narrative,claude,deepseek,0.5641033404157704,0.2616805509582256,9
dark_triad,narrative,claude,gemini,0.8029969547222991,0.02670777842816563,9
dark_triad,narrative,claude,openai,0.6268455172352262,0.17431004847724563,9
dark_triad,narrative,deepseek,gemini,0.7300204288543696,0.06963658599867384,9
dark_triad,narrative,deepseek,openai,0.43425233412656083,0.4812482648086778,9
dark_triad,narrative,gemini,openai,0.32712558971521666,0.6729164179293424,9
dark_triad,ocean_direct,claude,deepseek,0.8505222854794681,0.011131346195557668,9
dark_triad,ocean_direct,claude,gemini,0.36433498147847726,0.6074669352016521,9
dark_triad,ocean_direct,claude,openai,0.6548032525031033,0.140878822528559,9
dark_triad,ocean_direct,deepseek,gemini,0.575559999475626,0.24455659816325592,9
dark_triad,ocean_direct,deepseek,openai,0.713427057358043,0.0829569571443346,9
