test_case_id,provider,instrument,input_system,O,C,E,A,N,profile_label,total_score,factor_scores,questions_answered,questions_total
5833,claude,bfi,behavioral,100,100,100,100,100,all_maximum,96.94,"{""extraversion"": 90.625, ""agreeableness"": 100.0, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 96.875, ""openness"": 100.0}",44,44
5814,deepseek,bfi,behavioral,100,100,100,100,100,all_maximum,97.57,"{""extraversion"": 90.625, ""agreeableness"": 100.0, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 100.0, ""openness"": 100.0}",44,44
5871,gemini,bfi,behavioral,100,100,100,100,100,all_maximum,94.65,"{""extraversion"": 87.5, ""agreeableness"": 94.44444444444444, ""conscientiousness"": 94.44444444444444, ""neuroticism"": 96.875, ""openness"": 100.0}",44,44
5852,openai,bfi,behavioral,100,100,100,100,100,all_maximum,96.46,"{""extraversion"": 90.625, ""agreeableness"": 100.0, ""conscientiousness"": 91.66666666666667, ""neuroticism"": 100.0, ""openness"": 100.0}",44,44
5832,claude,bfi,behavioral,0,0,0,0,0,all_minimum,7.49,"{""extraversion"": 21.875, ""agreeableness"": 0.0, ""conscientiousness"": 5.555555555555558, ""neuroticism"": 0.0, ""openness"": 9.999999999999998}",44,44
5813,deepseek,bfi,behavioral,0,0,0,0,0,all_minimum,6.67,"{""extraversion"": 25.0, ""agreeableness"": 0.0, ""conscientiousness"": 8.333333333333332, ""neuroticism"": 0.0, ""openness"": 0.0}",44,44
5870,gemini,bfi,behavioral,0,0,0,0,0,all_minimum,2.5,"{""extraversion"": 12.5, ""agreeableness"": 0.0, ""conscientiousness"": 0.0, ""neuroticism"": 0.0, ""openness"": 0.0}",44,44
5851,openai,bfi,behavioral,0,0,0,0,0,all_minimum,4.24,"{""extraversion"": 15.625, ""agreeableness"": 0.0, ""conscientiousness"": 5.555555555555558, ""neuroticism"": 0.0, ""openness"": 0.0}",44,44
5824,claude,bfi,behavioral,50,75,100,75,50,high_A_high_C_high_E,73.14,"{""extraversion"": 96.875, ""agreeableness"": 88.88888888888889, ""conscientiousness"": 80.55555555555556, ""neuroticism"": 46.875, ""openness"": 52.5}",44,44
5805,deepseek,bfi,behavioral,50,75,100,75,50,high_A_high_C_high_E,72.64,"{""extraversion"": 96.875, ""agreeableness"": 80.55555555555556, ""conscientiousness"": 88.88888888888889, ""neuroticism"": 46.875, ""openness"": 50.0}",44,44
5862,gemini,bfi,behavioral,50,75,100,75,50,high_A_high_C_high_E,75.32,"{""extraversion"": 90.625, ""agreeableness"": 88.88888888888889, ""conscientiousness"": 83.33333333333333, ""neuroticism"": 56.25, ""openness"": 57.49999999999999}",44,44
5843,openai,bfi,behavioral,50,75,100,75,50,high_A_high_C_high_E,76.71,"{""extraversion"": 100.0, ""agreeableness"": 97.22222222222223, ""conscientiousness"": 94.44444444444444, ""neuroticism"": 46.875, ""openness"": 44.99999999999999}",44,44
