test_case_id,provider,instrument,input_system,O,C,E,A,N,profile_label,total_score,factor_scores,questions_answered,questions_total
7112,claude,bfi,behavioral,100,50,50,50,100,high_O_high_N,69.31,"{""extraversion"": 46.875, ""agreeableness"": 55.55555555555556, ""conscientiousness"": 47.22222222222222, ""neuroticism"": 96.875, ""openness"": 100.0}",44,44
7172,deepseek,bfi,behavioral,100,50,50,50,100,high_O_high_N,67.21,"{""extraversion"": 46.875, ""agreeableness"": 52.77777777777778, ""conscientiousness"": 38.888888888888886, ""neuroticism"": 100.0, ""openness"": 97.50000000000001}",44,44
7202,gemini,bfi,behavioral,100,50,50,50,100,high_O_high_N,69.36,"{""extraversion"": 46.875, ""agreeableness"": 61.111111111111114, ""conscientiousness"": 44.44444444444444, ""neuroticism"": 96.875, ""openness"": 97.50000000000001}",44,44
7142,openai,bfi,behavioral,100,50,50,50,100,high_O_high_N,68.26,"{""extraversion"": 50.0, ""agreeableness"": 47.22222222222222, ""conscientiousness"": 47.22222222222222, ""neuroticism"": 96.875, ""openness"": 100.0}",44,44
6872,claude,bfi,behavioral,100,50,50,50,0,high_O_low_N,55.07,"{""extraversion"": 53.125, ""agreeableness"": 58.333333333333336, ""conscientiousness"": 63.888888888888886, ""neuroticism"": 0.0, ""openness"": 100.0}",44,44
6932,deepseek,bfi,behavioral,100,50,50,50,0,high_O_low_N,52.92,"{""extraversion"": 56.25, ""agreeableness"": 58.333333333333336, ""conscientiousness"": 50.0, ""neuroticism"": 0.0, ""openness"": 100.0}",44,44
6962,gemini,bfi,behavioral,100,50,50,50,0,high_O_low_N,52.97,"{""extraversion"": 56.25, ""agreeableness"": 61.111111111111114, ""conscientiousness"": 50.0, ""neuroticism"": 0.0, ""openness"": 97.50000000000001}",44,44
6902,openai,bfi,behavioral,100,50,50,50,0,high_O_low_N,53.96,"{""extraversion"": 53.125, ""agreeableness"": 61.111111111111114, ""conscientiousness"": 55.55555555555556, ""neuroticism"": 0.0, ""openness"": 100.0}",44,44
7592,claude,bfi,behavioral,100,50,50,50,50,high_O_mid_N,65.68,"{""extraversion"": 50.0, ""agreeableness"": 66.66666666666666, ""conscientiousness"": 61.111111111111114, ""neuroticism"": 53.125, ""openness"": 97.50000000000001}",44,44
7652,deepseek,bfi,behavioral,100,50,50,50,50,high_O_mid_N,61.24,"{""extraversion"": 50.0, ""agreeableness"": 55.55555555555556, ""conscientiousness"": 50.0, ""neuroticism"": 53.125, ""openness"": 97.50000000000001}",44,44
